Year,Category,Book,Author,Language,Notes
2004,Novel,Baromas,Sadanand Deshmukh,MARATHI,
2003,Novel,Dangora : Eka Nagaricha,TV Saradeshmukh,MARATHI,
2002,Play,Yugant,Mahesh Elkunchwar,MARATHI,
2001,Novel,Tanakat,Rajan Gavas,MARATHI,
2000,Poetry,Panzad,Namdeo Dhondo Mahanor,MARATHI,
1999,Novel,Tamrapat,Ranganath Pathare,MARATHI,
1998,Criticism,Tukaram Darshan,Sadanand Shridhar More,MARATHI,
1997,Criticism,Dnyaneshwaritil Laukik Srishti,Madhukar Vasudev Dhond,MARATHI,
1996,Autobiography,Eka Mungiche Mahabharat,Gangadhar Gadgil,MARATHI,
1995,Novel,Raghavavel,Namdeo Kamble,MARATHI,
1994,Poetry,Ekun Kavita-I,Dilip Chitre,MARATHI,
1993,Literary criticism,Mardhekaranchi Kavita: Swarup ani Sandarbha,Vijaya Rajadhyaksha,MARATHI,
1992,Novel,Jhada Jhadti,Vishwas Patil,MARATHI,
1991,Criticism,Teeka Svayamvara,Bhalchandra Nemade,MARATHI,
1990,Autobiographical Novel,Zombi,Anand Ratan Yadav,MARATHI,
1989,Autobiography,Haravlele Diwas,Prabhakar Waman Urdhwareshe,MARATHI,Awarded Posthumously
1988,Autobiography,Uchalya,Laxman Gaikwad,MARATHI,
1987,Literary criticism,Shri Vithal: Ek Mahasamanvaya,RC Dhere,MARATHI,
1986,Poetry,Khoon Gathee,NG Deshpande,MARATHI,
1985,Autobiography,Ek Zad Ani Don Pakshi,Vishram Bedekar,MARATHI,
1984,Poetry,Garbharesheem,Indira Sant,MARATHI,
1983,Novel,Sattantar,Vyankatesh Madgulkar,MARATHI,
1982,Literary criticism,Saundaryanubhav,Prabhakar Padhye,MARATHI,
1981,Autobiography,Upara,Laxman Mane,MARATHI,
1980,Poetry,Salam ,Mangesh K Padgaonkar,MARATHI,
1979,Literary criticism,"Srishti, Saundarya ani Sahityamulya",Saratchandra Muktibodh,MARATHI,
1978,Poetry,Nakshtranche Dene,CT Khanolkar Arati Prabhu,MARATHI,Awarded Posthumously
1977,Poetry,Dashpadi,AR Deshpande Anil,MARATHI,
1976,Autobiographical Novel,Smaran Gatha,GN Dandekar,MARATHI,
1975,Aesthetics,Soundarya Mimansa,RB Patankar,MARATHI,
1974,Play,Natasamrat,VV Shirwadkar,MARATHI,Awarded Posthumously
1973,Short Stories,Kajalmaya,GA Kulkarni,MARATHI,Awarded Posthumously
1972,Autobiography,Jevha Manus Jaga Hoto,Godavari Parulekar,MARATHI,
1971,Essays,Pais,Durga Bhagwat,MARATHI,
1970,Biography,Adarsha Bharat-Sevaka,NR Phatak,MARATHI,
1969,Biography,Natyacharya Deval,SN Banhatti,MARATHI,
1968,Interpretation of the Mahabharata,Yugant,Iravati Karve,MARATHI,
1967,Linguistic study,Bhasha: Itihas ani Bhoogol,NG Kalelkar,MARATHI,
1966,Historical research,Sri Shiv Chhatrapati,TS Shejwalkar,MARATHI,Awarded Posthumously
1965,Sketches,Vyakti ani Valli,PL Deshpande,MARATHI,
1964,Novel,Swami,Ranjit Desai,MARATHI,
1963,Novel,Ratha-Chakra,Na Pendse,MARATHI,
1962,Philosophical reflections,Anamikachi Chintanika,PY Deshpande,MARATHI,
1961,Biography,Dr. Ketkar,DN Gokhale,MARATHI,
1960,Novel,Yayati,VS Khandekar,MARATHI,
1959,A treatise on poetics,Bharadya Sahityasastra,GT Deshpande,MARATHI,
1958,Autobiography,Bahurupee,Chintaman Ganesh Kolhatkar,MARATHI,
1956,A study of Aesthetics,Saundarya ani Sahitya,BS Mardhekar,MARATHI,Awarded Posthumously
1955,Cultural history,Vaidik Samskriticha Vikas,Tarkateertha Shastri Laxman Joshi,MARATHI,
2023,Essays,Loksahitya Ra Loksanskritiko Parichaya,Judhabir Rana,NEPALI (Since 1977),
2022,Drama,Saino,KB Nepali ,NEPALI (Since 1977),
2021,Epic Poetry,Usha Anirudha ,Chhabilal Upadhyaya ,NEPALI (Since 1977),
2020,Novel,Kirayako Kokh,Shankar Dev Dhakal ,NEPALI (Since 1977),
2019,Travelogue,Biswa Euta Pallo Gaon,Salon Karthak,NEPALI (Since 1977),
2018,Short Stories,Kina Royeu Upamaa,Lok Nath Upadhyay Chapagain ,NEPALI (Since 1977),
2017,Literary Criticism,Kriti Vimarsha,Bina Hangkhim,NEPALI (Since 1977),
2016,Novel,Janmabhumi Mero Swadesh,Gita Upadhyay,NEPALI (Since 1977),
2015,Short Stories,Samayaka Prativimbaharu,Gupta Pradhan,NEPALI (Since 1977),
2014,Short Stories,Satta Grahan,Nanda Hankhim,NEPALI (Since 1977),
2013,Travelogue,Manka Lahar Ra Raharharu ,Man Bahadur Pradhan ,NEPALI (Since 1977),
2012,Short Stories,Ekantavas,Uday Thulung,NEPALI (Since 1977),
2010,Poetry,Akashlay Pani Thawan Khoji Rahechha,Gopi Narayan Pradhan,NEPALI (Since 1977),Awarded Posthumously
2009,Short Stories,Gairi Gaon Ki Chameli,Samiran Chhetri Priyadarshi,NEPALI (Since 1977),
2008,Short Stories,Kehi Namileka Rekhaharu,Haiman Das Rai Kiraf ,NEPALI (Since 1977),
2007,Play,Curfew,Lakshman Srimal,NEPALI (Since 1977),
2006,Novel,Droha,Bhim Dahal,NEPALI (Since 1977),
2005,Novel,Jeevan GoretoMa,Krishna Singh Moktan,NEPALI (Since 1977),
2004,Poetry,Shanti Shandeha,Jos Yonjan Pyasi,NEPALI (Since 1977),
2003,Novel,Athah,Bindya Subha,NEPALI (Since 1977),
2002,Novel,Udasin Rukhharu,Prem Pradhan,NEPALI (Since 1977),
2001,Short stories,Aahat Anubhuti,Lakhi Devi Sundas,NEPALI (Since 1977),
2000,Essays,Nisansmaran,Ramlal Adhikari,NEPALI (Since 1977),
1999,Short stories,Bishaun Shatabdi Ki Monalisa,Bikram Bir Thapa,NEPALI (Since 1977),
1998,Poetry,Adim Busty,Man Prasad Subba,NEPALI (Since 1977),
1997,Biographical Essays,Veer Jatiko Amar Kahani,Mani Prasad Rai,NEPALI (Since 1977),
1996,Poetry,Nihsabda,MohanThakuri,NEPALI (Since 1977),
1995,Biography,Dr. Parasmani Ko Jiwan Yatra,Nagendramani Pradhan,NEPALI (Since 1977),
1994,Essays,Paryavekshan,Jiwan Namdung,NEPALI (Since 1977),
1993,Short stories,Mrigatrishna,Sanu Lama,NEPALI (Since 1977),
1992,Essays,Indra Dhanush,RP Lama,NEPALI (Since 1977),
1991,Poetry,Hypocret Champ-Gurans Ra Anya Kavita,Girmee Sherpa,NEPALI (Since 1977),
1990,Poetry,Aama,Tulsiram Sharma Kashyap,NEPALI (Since 1977),
1989,Epic,Karna-Kunti,Tulsi Bahadur Chhetri,NEPALI (Since 1977),
1988,Poetry,Usha Manjari,Pushpalal Upadhyaya,NEPALI (Since 1977),
1987,Novel,Brahmaputraka Chheu-Chhau,Lil Bahadur Chetri,NEPALI (Since 1977),
1986,Short stories,Chakrabyuha,Sharad Chhetri,NEPALI (Since 1977),
1985,Novel,Nilkanth,Matsyendra Pradhan,NEPALI (Since 1977),
1984,Epic,Samaj Darpan,Ramchandra Giri,NEPALI (Since 1977),
1983,Novel,Niyati,Indra Sundas,NEPALI (Since 1977),
1982,Essays,Binsiyako Sanskriti,MM Gurung,NEPALI (Since 1977),
1981,Novel,Naya Kshitij Ko Khoj,Asit Rai,NEPALI (Since 1977),
1980,Novel,Sunakhari,Okima Gwyn,NEPALI (Since 1977),
1979,Essays,Maulo,Guman Singh Chamling,NEPALI (Since 1977),
1978,Short stories,Khaharey,Shiva Kumar Rai,NEPALI (Since 1977),
1977,Literary criticism,Nepali Upanyas Ka Adharharu,Indra Bahadur Rai,NEPALI (Since 1977),
2023,Poetry,Aprastuta Mrutyu,Ashutosh Parida,ODIA,
2022,Poetry,Dayanadi,Gayatribala Panda,ODIA,
2021,Poetry,Sarijaithiba Apera ,Hrushikesh Mallick ,ODIA,
2020,Short Stories,Samudrakula Ghara,Yashodhara Mishra ,ODIA,
2019,Short Stories,Bhaswati,Tarun Kanti Mishra,ODIA,
2018,Literary Criticism,Prasanga Puruna Bhabana Nua,Dasarathi Das ,ODIA,
2017,Short Stories,Etavatira Shilpi,Gayatri Saraf,ODIA,
2016,Short Stories,Prapti,Paramita Satpathy,ODIA,
2015,Short Stories,Mahishasurara Muhan,Bibhuti Pattanaik,ODIA,
2014,Poetry,Bipula Diganta,Gopalkrushna Rath,ODIA,
2013,Play,Banaprastha,Bijoy Misra,ODIA,
2012,Short Stories,Kanta 0' Anyanya Galpa,Gourahari Das,ODIA,
2011,Novel,Achihna Basabhumi,Kalpanakumari Devi,ODIA,
2010,Autobiography,Jibanara Chalapathe,Pathani Pattnaik,ODIA,
2009,Poetry,Mruqaya,Phani Mohanty,ODIA,
2008,Poetry,Asaranti Anasara,Pramod Kumar Mohanty,ODIA,
2007,Poetry,Sukha Sanhita,Dipak Mishra,ODIA,
2006,Poetry,Swarodaya,Bansidhar Sarangi,ODIA,
2005,Short Stories,Gopapura,Ramachandra Behera,ODIA,
2004,Essays,Bharatiya Sanskruti O Bhagwadgita,Prafulla Kumar Mohanty,ODIA,
2003,Criticism,Suryasnata,Jatindra Mohan Mohanty,ODIA,
2002,Biography,Gandhi Manisha,Sarat Kumar Mohanty,ODIA,
2001,Poetry,Tanmaya Dhuli,Pratibha Satpathy,ODIA,
2000,Short Stories,Ullanghan,Pratibha Ray,ODIA,
1999,Poetry,Garbhagriha,Haraprasad Das,ODIA,
1998,Criticism,Biswaku Gabakhya,Chitta Ranjan Das,ODIA,
1997,Short stories,Sabutharu Dirgharati,Chandrasekhar Rath,ODIA,
1996,Autobiography,Mo Jeevana Sangrama,Satyanarayan Rajaguru,ODIA,
1995,Criticism,Kavyasilpi Gangadhara,Govind Chandra Udgata,ODIA,
1994,Cultural Study,Jagata Darshanare Jagannatha,Guru Charan Patnaik,ODIA,
1993,Short stories,Chalanti Thakura,Santanu Kumar Acharya,ODIA,
1992,Short Stories,Bichitra Barna,Rabi Pattnayak,ODIA,Awarded Posthumously
1991,Poetry,Ahnika,Jagannath Prasad Das,ODIA,
1990,Short Stories,Pata Dei,Binapani Mohanty,ODIA,
1989,Poetry,Nai Aarapari,Bhanuji Rao,ODIA,
1988,Poetry,Akash Pan Nibida,Sourindra Barik,ODIA,
1987,Novel,Gharadiha,Nityananda Mahapatra,ODIA,
1986,Poetry,Dwa Suparna,Soubhagya Kumar Misra,ODIA,
1985,Poetry,Saila Kalpa,Rajendra K Panda,ODIA,
1984,Short stories,Abhisapta Gandharba,Mohapatra Nilamani Sahoo,ODIA,
1983,Vol. Ill) (Essays,Gan Majlis,Harekrushna Mehtab,ODIA,
1982,One-act Plays,Hasyarasar Natak,Gopal Chhotrai,ODIA,
1981,Short Stories,O Andhagali,Akhilmohan Patnaik,ODIA,
1980,Poetry,Abantar,Ananta Patnaik,ODIA,
1979,Autobiography,Mo Kahani,Kunjabihari Das,ODIA,
1978,Poetry,Saptama Ritu,Ramakanta Rath,ODIA,
1977,Autobiography,Kumbhara Chaka,Kali Charan Patnaik,ODIA,
1976,Short Stories,Thakura Ghara,Kishori Charan Das,ODIA,
1975,Poetry,Surya O Andhakar,Radha Mohan Gadanayak,ODIA,
1974,Poetry,Sabdar Akash,Sitakant Mahapatra,ODIA,
1973,Poetry,Samudra Snana,GP Mohanty,ODIA,
1972,Short Stories,Manojdasank Katha O Kahini,Manoj Das,ODIA,
1971,Play,Aranya Fasal,Manoranjan Das,ODIA,
1970,Poetry,Sarisrupa,Binod Chandra Nayak,ODIA,
1969,Novel,Nila Saila,Surendra Mohanty,ODIA,
1967,History of Literature,Odiya Sahityara Itihas,Suryanarayan Das,ODIA,
1966,Poetry,Banka O Sidha,Godavarish Mahapatra,ODIA,Awarded Posthumously
1965,Poetry,Uttarayana,Baikunthanath Patnaik,ODIA,
1964,Autobiography,Atmajibani,Nilakantha Das,ODIA,
1963,Poetry,Kabka-1962,Satchidananda Raut Roy,ODIA,
1961,Autobiography,Ardhasatabdir Odisa O Tanhire Mo Sthan,Godavaris Mishra,ODIA,Awarded Posthumously
1958,Novel,Ka,Kanhucharan Mohanty,ODIA,
1955,Novel,Amrutara Santan,Gopinath Mohanty,ODIA,
2023,Poetry,Mann Di Chip,Swarnjit Savi,PUNJABI,
2022,Short Stories,Main Aynghosh Nahi,Sukhjit,PUNJABI,
2021,short Stories,Sullan Da Salan ,Khalid Hussain ,PUNJABI,
2020,Short Stories,Aam Khass,Gurdev Singh Rupana,PUNJABI,
2019,Short Stories,Antheen,Kirpal Kazak,PUNJABI,
2018,Poetry,Kone Da Suraj ,Mohanjit ,PUNJABI,
2017,Novel,Slow Down,Nachhattar,PUNJABI,
2016,Play,Masia Di Raat,Swarajbir,PUNJABI,
2015,Novel,Maat Lok,Jaswinder Singh,PUNJABI,
2014,Poetry,Agarbatti,Jaswinder,PUNJABI,
2013,Novel,Nirvaan ,Manmohan ,PUNJABI,
2012,Poetry,Maha Kambani,Darshan Buttar,PUNJABI,
2011,Novel,Dhaawaan Dilli De Kingrey,Baldev Singh,PUNJABI,
2010,Poetry,Kaal Pehar Gharian,Vanita,PUNJABI,
2009,Play,Tatti Tavi Da Sach,Atamjit,PUNJABI,
2008,Novel,Sudhar Ghar,Mitter Sain Meet,PUNJABI,
2007,Poetry,Kamandal,Jaswant Deed,PUNJABI,
2006,Plays,Ishk Baj Namaz Da Haz Nahi,Ajmer Singh Aulakh,PUNJABI,
2005,Short Stories,Agni-Kalas,Gurbachan Singh Bhullar,PUNJABI,
2004,Criticism,Kavita Di Bhumika,Sutinder Singh Noor,PUNJABI,
2003,Play,Bhagat Singh Shahid : Natak Tikri,Charan Dass Sidhu,PUNJABI,
2002,Poems,Pulaan Ton Paar,Harbhajan Singh Halwarvi,PUNJABI,
2001,Poetry,Shabdant,Dev,PUNJABI,
2000,Short Stories,Chauthi Koot,Waryam Singh Sandhu,PUNJABI,
1999,Novel,Gawache Arth,Niranjan Singh Tasneem,PUNJABI,
1998,Short Stories,Moon Di Akh,Mahan Bhandari,PUNJABI,
1997,Novel,Taushali Di Hanso,Jaswant Singh Kanwal,PUNJABI,
1996,Short Stories,Pakhi,Santosh Singh Dhir,PUNJABI,
1995,Poetry,Jugnoo Deeva Te Darya,Jagtar,PUNJABI,
1994,Short Stories,Nawen Yug De Waris,Mohinder Singh Sarna,PUNJABI,
1993,Poetry,Haneray Vich Sulgadi Varnmala,Surjit Patar,PUNJABI,
1992,Short Stories,Kujh Ankeha Vi,Prem Prakash,PUNJABI,
1991,Poetry,Jhanan Di Rat,Harinder Singh Mehboob,PUNJABI,
1990,Poetry,Uninda Wartman,Manjit Tiwana,PUNJABI,
1989,Poetry,Kahikashan,Tara Singh Kamil,PUNJABI,
1988,Autobiography,Galiey Chikar Duri Ghar,SS Wanjara Bedi,PUNJABI,
1987,Novel,Kothe Kharak Singh,Ram Sarup Anakhi,PUNJABI,
1986,Short Stories,Shahar Te Gran,S Sujan Singh,PUNJABI,
1985,Autobiography,Khana Badosh,Ajeet Cour,PUNJABI,
1984,Play,Pagal Lok,Kapur Singh Ghuman,PUNJABI,
1983,Poetry,Anik Bishthar,Pritam Singh Safeer,PUNJABI,
1982,Short Stories,Amar Katha,Gulzar Singh Sandhu,PUNJABI,
1981,Poetry,Garaj Ton Footpath Teek,VN Tiwari,PUNJABI,
1980,Poetry,Suraj Te Kehkashan,Sukhpal Vir Singh Hasrat,PUNJABI,
1979,Poetry,Karuna Di Chho Ton Magron,Jaswant Singh Neki,PUNJABI,
1978,Short Stories,Urvar Par,Gurmukh Singh Musafir,PUNJABI,Awarded Posthumously
1977,Poetry,Kach De Vastar,Sohan Singh Misha,PUNJABI,
1976,Novel,Ba Mulahaza Hoshiar,Narenderpal Singh,PUNJABI,
1975,Novel,Adh Chanani Raat,Gurdial Singh,PUNJABI,
1974,Novel,Jug Badal Gaya,Sohan Singh Seetal,PUNJABI,
1973,Play,"Kal, Aj Te Balak",Harcharan Singh,PUNJABI,
1972,Play,Mittar Pyara,Sant Singh Sekhon,PUNJABI,
1971,Novel,Eho Hamara Jiwana,Dalip Kaur Tiwana,PUNJABI,
1969,Poetry,Na Dhuppe Na Chaanve,Harbhajan Singh,PUNJABI,
1968,Short Stories,Naven Lok,Kulwant Singh Virk,PUNJABI,
1967,Verse-Play,Loona,Shiv Kumar,PUNJABI,
1965,Short Stories,Ik Chhit Chanan Di,Kartar Singh Duggal,PUNJABI,
1964,Poetry,Pabbi,Prabhjot Kaur,PUNJABI,
1962,History and Development of Indian Theatre,Rangmanch,Balwant Gargi,PUNJABI,
1961,Novel,Ik Miyan Do Talwaran,Nanak Singh,PUNJABI,
1959,Poetry,Wadda Vela,Mohan Singh,PUNJABI,
1956,Poetry,Sunehure,Amrita Pritam,PUNJABI,
1955,Poetry,Mere Sainya Jio,Bhai Vir Singh,PUNJABI,
2023,Poetry,Palakati Preet,Gaje Singh Rajpurohit,RAJASTHANI (Since 1974),
2022,Play,Alekhun Amba,Kamal Ranga ,RAJASTHANI (Since 1974),
2021,Poetry,Mugtee ,Meethesh Nirmohi ,RAJASTHANI (Since 1974),
2020,Essays,Sanskriti Ri Sanatan Deeth,Bhanwar Singh Samour,RAJASTHANI (Since 1974),
2019,Short Stories,Bareek Baat,Ramsawroop Kisan,RAJASTHANI (Since 1974),
2018,Poetry,Kavita Devai Deeth ,Rajesh Kumar Vyas,RAJASTHANI (Since 1974),
2017,Criticism,Bina Hasal Pai,Neeraj Daiya,RAJASTHANI (Since 1974),
2016,Short Stories,Murdjat Ar Dujee Kahaniyan,Bulaki Sharma,RAJASTHANI (Since 1974),
2015,Novel,Gawaad,Madhu Acharya Ashawadi,RAJASTHANI (Since 1974),
2014,Short Stories,Sundar Nain Sudha,Rampal Singh Rajpurohit,RAJASTHANI (Since 1974),
2013,Poetry,Aanthyoi Nahi Din Hal,Ambika Dutt ,RAJASTHANI (Since 1974),
2012,Poetry,Aankh Hinye Ra Hariyal Sapana,Aaidan Singh Bhati,RAJASTHANI (Since 1974),
2011,Novel,Joon-Jatra,Atul Kanakk,RAJASTHANI (Since 1974),
2010,Poetry,Meeran,Manqat Badal,RAJASTHANI (Since 1974),
2009,Short Stories,Mai Eida Poot Jan,Ratan Jangid,RAJASTHANI (Since 1974),
2008,Short Stories,Paqarva,Dinesh Panchal,RAJASTHANI (Since 1974),
2007,Criticism,Aalochana Ree Aankh Sun,Kundan Mali,RAJASTHANI (Since 1974),
2006,Plays,Poornamidam,Laxmi Narayan Ranga,RAJASTHANI (Since 1974),
2005,Short Stories,Kisturi Mirag,Chetan Swami,RAJASTHANI (Since 1974),
2004,Novel,Samhi Khulto Marag,Nand Bhardwaj,RAJASTHANI (Since 1974),
2003,Poetry,Simaran,Santosh Mayamohan,RAJASTHANI (Since 1974),
2002,Short Stories,Jiv Ri Jaat,Bharat Ola,RAJASTHANI (Since 1974),
2001,Novel,Gharano,Abdul Vaheed Kamal,RAJASTHANI (Since 1974),
2000,Play,Kankoo Kabandh,Jaya Prakash Pandya Jyotipunj,RAJASTHANI (Since 1974),
1999,Poetry,Seer Ro Ghar,Vasu Acharya,RAJASTHANI (Since 1974),
1998,Novel,Ud Ja Re Sua,Shanti Bharadwaj Rakesh,RAJASTHANI (Since 1974),
1997,Poetry,Utaryo Hal Abho,Malchand Tiwari,RAJASTHANI (Since 1974),
1996,Memoirs,Olun Ri Akhiyatan,Nem Narayan Joshi,RAJASTHANI (Since 1974),
1995,Poetry,Kookh Padyai Ree Peed,Kishore Kalpanakant,RAJASTHANI (Since 1974),
1994,Short Stories,Mati Ri Mahak,Karnidan Barhath,RAJASTHANI (Since 1974),
1993,Short Stories,Adhura Supna,Nrisingh Rajpurohit,RAJASTHANI (Since 1974),
1992,Plays,Dharam Judh,Arjun Deo Charan,RAJASTHANI (Since 1974),
1991,Poetry,Mhari Kavitavan,Premji Prem,RAJASTHANI (Since 1974),
1990,Poetry,Uchhalo,Rewatdan Charan Kalpit,RAJASTHANI (Since 1974),
1989,Short Stories,Jamaro,Yadavendra Sharma Chandra,RAJASTHANI (Since 1974),
1988,Poetry,Anahad Naad,Bhagwati Lal Vyas,RAJASTHANI (Since 1974),
1987,Poetry,Saglonri Peeda Swatmegh,Nain Mal Jain,RAJASTHANI (Since 1974),
1986,Poetry,Dwarka,Mahavir Prasad Joshi,RAJASTHANI (Since 1974),
1985,Short Stories,Ek Duniya Mhari,Sanwar Daiya,RAJASTHANI (Since 1974),
1984,Poetry,Maru-Mangal,Sumer Singh Sekhawat,RAJASTHANI (Since 1974),
1983,Poetry,Ga-Geet,Mohan Alok,RAJASTHANI (Since 1974),
1982,Short Stories,Chasmadith Gawah,Moolchand Pranesh,RAJASTHANI (Since 1974),
1981,Poetry,Barsan Ra Degoda Dungar Langhiyan,Narayan Singh Bhati,RAJASTHANI (Since 1974),
1980,Poetry,Mharo Gaon,Rameshwar Dayal Shrimali,RAJASTHANI (Since 1974),
1979,Poetry,Paagi,Chandra Prakash Deval,RAJASTHANI (Since 1974),
1978,Novel,Mevai Ra Runkh,Anna Ram Sudama,RAJASTHANI (Since 1974),
1977,Poetry,Bol Bharamli,Satya Prakash Joshi,RAJASTHANI (Since 1974),
1976,Poetry,Leeltans,Kanhaiyalal Sethia,RAJASTHANI (Since 1974),
1975,Poetry,Pagfero,Mani Madhukar,RAJASTHANI (Since 1974),
1974,Folk-tales,Batan Ri Phulwari Vol. X,Vijay Dan Detha,RAJASTHANI (Since 1974),
2023,Poetry,Shunye Meghganam,Arun Ranjan Mishra,SANSKRIT,
2022,Poetry,Deepmanikyam,Janardan Prasad Pandey Mani,SANSKRIT,
2021,Poetry,"Srijati Shankhnadam Kil, Kavita ",Vindeshwariprasad Mishr Vinay ,SANSKRIT,
2020,Novel,Vaishali,Mahesh Chandra Sharma  Gautam,SANSKRIT,
2019,Poetry,Prajnachakshusham,Penna Madhusudan,SANSKRIT,
2018,Poetry,Mama Janani,Rama Kant Shukla,SANSKRIT,
2017,Poetry,Gangaputravadanam,Niranjan Mishra,SANSKRIT,
2016,Poetry,Kavyanirjhari,Sitanath Acharya,SANSKRIT,
2015,Epic,Vanadevi,Ram Shankar Awasthi,SANSKRIT,
2013,Poetry,Chaladuravani ,Radhakant Thakur ,SANSKRIT,
2012,Poetry,Laghupadhyaprhbandhatrayi,Ramji Thakur,SANSKRIT,
2011,Poetry,Bharatayanam,Harekrishna Satapathy,SANSKRIT,
2010,Poetry,Bharqviyam,Mithila Prasad Tripathi,SANSKRIT,
2009,Short Stories,Anabheepsitam,Prashasya Mitra Shastri,SANSKRIT,
2008,Poetry,Rasapriya-Vibhavanam,Om Prakash Pandey,SANSKRIT,
2007,Play,Chet Re Cikayena,Kherwal Saren,SANSKRIT,
2006,Poetry,Tava Sparshe Sparshe,Harshdev Madhav,SANSKRIT,
2005,Epic,Sri Bhargava Raghaviyam,Swami Rambhadracharya,SANSKRIT,
2004,Fiction,Akhyanavallari,Kala Nath Shastri,SANSKRIT,
2003,Poetry,Nirjharini,Bhaskaracharya Tripathi,SANSKRIT,
2002,Poetry,Harsacarita-Manjari,Kashinath Mishra,SANSKRIT,
2001,Essays,Ko Vai Rasah,P Sri Ramachandrudu,SANSKRIT,
2000,Poetry,Jagadguru Sri Chandrasekharendra Saraswati Vijayam,S Srinivasa Sarma,SANSKRIT,
1999,Poetry,Tadeva Gaganam Saivadhara,Shriniwas Rath,SANSKRIT,
1998,Poetry,Pratanini,Bachchoolal Awasthi,SANSKRIT,
1997,Poetry,Triveni,Shyam Dev Parashar,SANSKRIT,
1996,Poetry,Isha,Keshab Chandra Dash,SANSKRIT,
1995,Poetry,Sri Radha Panchashati,Rasik Vihari Joshi,SANSKRIT,
1994,Poetry,Sandhanam,Radhavallabh Tripathi,SANSKRIT,
1993,Prose Romance,Jayantika,Jaggu Vakula Bhushana,SANSKRIT,
1992,Epic,Bhishma Charitam,Hari Narayan Dikshit,SANSKRIT,
1991,Poetry,Svatantrya Sambhavam,Rewa Prasad Dwivedi,SANSKRIT,
1990,Poetry,Srimat-Pratapa-Ranayanam Mahakavyam,Ogeti Parikshit Sharma,SANSKRIT,
1989,Poetry,Sandhya,Ram Karan Sharma,SANSKRIT,
1988,Short Stories,Ikshugandha,Rajendra Mishra,SANSKRIT,
1987,Novel,Avinasi,Biswanarayan Shastri,SANSKRIT,
1986,Epic,Sri Radhacarita Mahakavyam,Kalika Prasad Shukla,SANSKRIT,
1985,Epic,Vindhyavasini Vijaya Mahakavyam,Vasant Trimbak Shevde,SANSKRIT,
1984,Historical Novel,Sindhu-Kanya,Shrinath S Hasurkar,SANSKRIT,
1983,Biography,Shri Sambulingeswar Vijaya Campu,Pandharinathacharya Galgali,SANSKRIT,
1982,Epic,Visvabhanu,PK Narayana Pillai,SANSKRIT,
1981,Poetry,Kapishayani,Jagannath Pathak,SANSKRIT,
1980,Epic,Krishtubhagavatam,PC Devassia,SANSKRIT,
1979,Epic,Keralodayah,KN Ezhuthachan,SANSKRIT,
1977,Poetry,Buddhavijayakavyam,Shanti Bhikshu Shastri,SANSKRIT,
1974,Epic Poem,Shrishivarajyodayam,SB Varnekar,SANSKRIT,
1973,Epic,Sritilakayasornavah,MS Aney,SANSKRIT,Awarded Posthumously
1970,Treatise on Verbal Cognition,Shabdatarangini,V Subramanya Sastri,SANSKRIT,
1968,Poetry,Srigurugovindasimhacharitam,Satyavrat Shastri,SANSKRIT,
1967,Poetry,Chitrakavya Kautukam,Ramaroop Pathak,SANSKRIT,
1966,Aesthetics,Bhoja’s Sringara Prakasa,V Raghavan,SANSKRIT,
1964,Treatise in Hindi,Tantrik Vanmaya men Shaktadrishti,Mm Gopinath Kaviraj,SANSKRIT,
1963,Research,A History of Dvait School of Vedanta and its Literature,BN Krishnamurti Sharma,SANSKRIT,
1961,A study in Hindi) (Research,Vaidik Vijnan aur Bharatiya Sanskriri,Giridhar Sharma Chaturvedi,SANSKRIT,
1956,Research,History of Dharma Sastra Vol. IV,PV Kane,SANSKRIT,
2023,Short Stories,Jaba Baha,Taraceen Baskey Turia Chand Baskey,SANTHALI (Since 2005),
2022,Poetry,Sabarnaka Balire Sanan’ Panjay,Kajli Soren Jagannath Soren,SANTHALI (Since 2005),
2021,Short Stories,Mane Rena Arhang ,Niranjan Hansda ,SANTHALI (Since 2005),
2020,Poetry,Gur Dak Kasa Dak,Rupchand Hansdah,SANTHALI (Since 2005),
2019,Short Stories,Sisirjali,Kali Charan Hembram,SANTHALI (Since 2005),
2018,Novel,Marom ,Shyam Besra Jiwi Rarec,SANTHALI (Since 2005),
2017,Poetry,Tahena.n Tangi re,Bhujanga Tudu,SANTHALI (Since 2005),
2016,Poetry,Nalha,Gobinda Chandra Majhi,SANTHALI (Since 2005),
2015,Play,Parsi Khatir,Rabilal Tudu,SANTHALI (Since 2005),
2014,Play,Mala Mudam,Jamadar Kisku,SANTHALI (Since 2005),
2013,Poetry,Chanda Bonga ,Arjun Charan Hembram,SANTHALI (Since 2005),
2012,Short Stories,Banchaw Akan Goj Hor,Gangadhar Hansda,SANTHALI (Since 2005),
2011,Poetry,Banchao Larhai,Aditya Kumar Mandi,SANTHALI (Since 2005),
2010,Play,Rahi Ranwak’ Kana,Bhoqla Soren,SANTHALI (Since 2005),
2009,Poetry,Say Sahed,Damayanti Beshra,SANTHALI (Since 2005),
2008,Short Stories,Manmi,Badal Hembram,SANTHALI (Since 2005),
2007,Play,Chet Re Cikayana,Kherwal Saren,SANTHALI (Since 2005),
2006,Biography,Guru Gomke Pondet Raghunath Murmu,Ram Chandra Murmu,SANTHALI (Since 2005),
2005,Poetry,Bhabna,Jadumani Besra,SANTHALI (Since 2005),
